18:26.3;1904;2390;2010
18:26.3;1908;2390;2009
18:26.3;1907;2390;2005
18:26.3;1899;2387;1999
18:26.3;1906;2387;2008
18:26.3;1902;2387;2005
18:26.3;1900;2389;2006
18:26.3;1907;2389;2008
18:26.3;1903;2389;2002
18:26.3;1900;2387;2003
18:26.3;1903;2387;2005
18:26.3;1899;2384;2006
18:26.3;1901;2391;2006
18:26.3;1899;2387;2006
18:26.4;1898;2387;2009
18:26.4;1907;2382;2007
18:26.4;1904;2386;2001
18:26.4;1899;2386;2007
18:26.4;1899;2386;2008
18:26.4;1899;2385;2003
18:26.4;1905;2388;2005
18:26.4;1897;2386;2002
18:26.4;1904;2389;2008
18:26.4;1904;2389;2010
18:26.4;1900;2383;2004
18:26.4;1898;2392;2008
18:26.4;1901;2387;2005
18:26.4;1900;2391;2009
18:26.4;1903;2389;2006
18:26.4;1902;2384;2007
18:26.4;1904;2387;2007
18:26.4;1902;2387;2007
18:26.4;1900;2387;2001
18:26.4;1904;2387;2007
18:26.4;1898;2389;2008
18:26.4;1903;2387;2005
18:26.4;1901;2385;2003
18:26.4;1902;2381;2005
18:26.4;1897;2387;2006
18:26.4;1899;2389;2004
18:26.4;1906;2391;2003
18:26.4;1907;2391;2003
18:26.4;1901;2383;2003
18:26.4;1904;2379;2007
18:26.4;1906;2386;2003
18:26.4;1907;2387;2006
18:26.4;1901;2384;2001
18:26.4;1904;2383;2005
18:26.4;1902;2390;2006
18:26.4;1904;2383;2002
18:26.4;1899;2392;2004
18:26.4;1908;2385;2011
18:26.4;1908;2389;2006
18:26.4;1900;2387;2007
18:26.4;1899;2391;2004
18:26.4;1905;2386;2005
18:26.4;1902;2389;2002
18:26.4;1907;2384;2002
18:26.4;1899;2384;1999
18:26.4;1904;2384;2006
18:26.4;1901;2383;2005
18:26.4;1898;2388;2002
18:26.4;1897;2392;2003
18:26.4;1903;2387;2000
18:26.4;1900;2384;2002
18:26.5;1897;2389;1999
18:26.5;1900;2390;2006
18:26.5;1899;2386;2001
18:26.5;1903;2384;2004
18:26.5;1902;2391;2010
18:26.5;1899;2384;2003
18:26.5;1906;2385;2004
18:26.5;1907;2391;2009
18:26.5;1906;2382;2001
18:26.5;1904;2386;2000
18:26.5;1902;2381;2005
18:26.5;1907;2385;2005
18:26.5;1908;2385;2004
18:26.5;1905;2385;2002
18:26.5;1903;2384;1992
18:26.5;1902;2387;1997
18:26.5;1904;2385;1999
18:26.5;1900;2385;2000
18:26.5;1900;2382;2004
18:26.5;1901;2389;2003
18:26.5;1899;2392;1995
18:26.5;1900;2387;2001
18:26.5;1899;2391;1996
18:26.5;1901;2387;2001
18:26.5;1898;2383;1997
18:26.5;1897;2383;2001
18:26.5;1895;2383;1998
18:26.5;1898;2383;1995
18:26.5;1897;2385;1998
18:26.5;1898;2390;1997
18:26.5;1894;2389;1996
18:26.5;1896;2381;1997
18:26.5;1894;2382;1993
18:26.5;1891;2388;1995
18:26.5;1898;2391;1992
18:26.5;1901;2380;1987
18:26.5;1897;2378;1990
18:26.5;1905;2373;1995
18:26.5;1907;2377;1998
18:26.5;1905;2381;1997
18:26.5;1890;2371;1985
18:26.5;1892;2370;1987
18:26.5;1894;2370;1985
18:26.5;1899;2369;1985
18:26.5;1898;2369;1985
18:26.5;1900;2375;1989
18:26.5;1905;2377;1994
18:26.5;1892;2390;1991
18:26.5;1897;2390;1994
18:26.5;1899;2385;1996
18:26.5;1899;2393;1996
18:26.6;1900;2391;1994
18:26.6;1900;2399;1995
18:26.6;1905;2396;2004
18:26.6;1907;2393;2009
18:26.6;1906;2390;2009
18:26.6;1911;2395;2009
18:26.6;1907;2401;2014
18:26.6;1905;2395;2017
18:26.6;1904;2398;2017
18:26.6;1907;2390;2019
18:26.6;1911;2391;2019
18:26.6;1911;2386;2028
18:26.6;1916;2388;2014
18:26.6;1918;2401;2014
18:26.6;1912;2393;2010
18:26.6;1909;2385;2017
18:26.6;1915;2385;2025
18:26.6;1915;2380;2003
18:26.6;1905;2381;1996
18:26.6;1902;2377;1997
18:26.6;1906;2387;2011
18:26.6;1899;2382;1996
18:26.6;1892;2394;1987
18:26.6;1894;2401;1992
18:26.6;1899;2402;1997
18:26.6;1898;2389;1985
18:26.6;1901;2375;1972
18:26.6;1906;2375;1976
18:26.6;1907;2386;1987
18:26.6;1904;2381;1987
18:26.6;1912;2382;1967
18:26.6;1905;2379;1955
18:26.6;1903;2373;1961
18:26.6;1910;2367;1974
18:26.6;1908;2353;1978
18:26.6;1917;2359;1984
18:26.6;1921;2370;1980
18:26.6;1910;2390;1964
18:26.6;1904;2412;1947
18:26.6;1916;2415;1951
18:26.6;1923;2407;1966
18:26.6;1922;2397;1975
18:26.6;1922;2374;1966
18:26.6;1930;2360;1968
18:26.6;1935;2351;1968
18:26.6;1930;2363;1972
18:26.6;1948;2381;1965
18:26.6;1950;2393;1962
18:26.6;1954;2411;1979
18:26.6;1971;2413;1978
18:26.6;1976;2408;1983
18:26.7;1968;2407;1994
18:26.7;1961;2393;1989
18:26.7;1949;2379;1985
18:26.7;1957;2376;1994
18:26.7;1960;2382;1999
18:26.7;1961;2401;1998
18:26.7;1958;2397;1987
18:26.7;1969;2384;1981
18:26.7;1972;2373;1998
18:26.7;1969;2372;2003
18:26.7;1963;2378;2002
18:26.7;1959;2387;1986
18:26.7;1953;2382;1996
18:26.7;1957;2377;2005
18:26.7;1959;2364;1998
18:26.7;1945;2368;1995
18:26.7;1950;2358;1999
18:26.7;1951;2353;2006
18:26.7;1951;2350;2016
18:26.7;1940;2349;2021
18:26.7;1935;2373;2026
18:26.7;1888;2439;2038
18:26.7;1829;2536;2049
18:26.7;1795;2514;2035
18:26.7;1915;2449;1918
18:26.7;1965;2379;1869
18:26.7;1914;2394;1897
18:26.7;1852;2379;1936
18:26.7;1860;2373;1955
18:26.7;1891;2369;1948
18:26.7;1879;2353;1942
18:26.7;1860;2354;1934
18:26.7;1849;2374;1922
18:26.7;1875;2383;1907
18:26.7;1892;2377;1913
18:26.7;1883;2388;1910
18:26.7;1873;2380;1915
18:26.7;1885;2367;1914
18:26.7;1887;2366;1905
18:26.7;1890;2378;1907
18:26.7;1889;2381;1904
18:26.7;1896;2378;1915
18:26.7;1895;2373;1914
18:26.7;1884;2368;1919
18:26.7;1888;2369;1924
18:26.7;1891;2370;1923
18:26.7;1891;2367;1931
18:26.7;1891;2364;1937
18:26.7;1900;2367;1932
18:26.7;1885;2363;1919
18:26.7;1890;2364;1924
18:26.8;1888;2372;1923
18:26.8;1882;2377;1925
18:26.8;1888;2377;1910
18:26.8;1881;2370;1906
18:26.8;1887;2361;1912
18:26.8;1884;2355;1918
18:26.8;1879;2355;1917
18:26.8;1879;2362;1903
18:26.8;1872;2360;1911
18:26.8;1873;2358;1907
18:26.8;1865;2352;1903
18:26.8;1863;2351;1905
18:26.8;1853;2349;1899
18:26.8;1854;2408;1914
18:26.8;1854;2430;1931
18:26.8;1876;2382;1886
18:26.8;1882;2345;1862
18:26.8;1878;2298;1894
18:26.8;1868;2333;1963
18:26.8;1883;2363;1994
18:26.8;1893;2380;1994
18:26.8;1912;2394;1966
18:26.8;1919;2400;1951
18:26.8;1934;2403;1951
18:26.8;1937;2404;1970
18:26.8;1927;2413;1978
18:26.8;1914;2423;1973
18:26.8;1899;2435;1963
18:26.8;1890;2428;1973
18:26.8;1890;2417;1976
18:26.8;1897;2397;1980
18:26.8;1901;2387;1979
18:26.8;1899;2372;1989
18:26.8;1907;2361;1994
18:26.8;1917;2359;1985
18:26.8;1914;2363;1976
18:26.8;1916;2376;1977
18:26.8;1915;2381;1967
18:26.8;1917;2383;1972
18:26.8;1908;2389;1966
18:26.8;1903;2393;1972
18:26.8;1905;2398;1973
18:26.8;1903;2398;1974
18:26.8;1901;2390;1975
18:26.8;1904;2384;1979
18:26.8;1910;2376;1969
18:26.8;1922;2373;1967
18:26.8;1917;2375;1963
18:26.8;1918;2373;1971
18:26.8;1910;2377;1973
18:26.8;1913;2378;1972
18:26.8;1912;2378;1974
18:26.9;1913;2383;1967
18:26.9;1908;2377;1967
18:26.9;1911;2374;1965
18:26.9;1911;2369;1963
18:26.9;1914;2372;1966
18:26.9;1906;2409;1956
18:26.9;1907;2409;1958
18:26.9;1911;2405;1966
18:26.9;1904;2385;1998
18:26.9;1895;2385;1999
18:26.9;1894;2392;1988
18:26.9;1902;2387;2001
18:26.9;1904;2392;2001
18:26.9;1906;2399;1995
18:26.9;1896;2394;2000
